"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation"
"1",1.53701906871816e-30,1.39873650346859,1,1,3.07403813743632e-27,"0","REG1A","Upregulated"
"2",7.15822073575721e-28,1.05486548779496,1,1,1.43164414715144e-24,"0","SPINK1","Upregulated"
"3",9.83009831000192e-28,1.22647366585161,1,1,1.96601966200038e-24,"0","PRSS2","Upregulated"
"4",3.16014684324362e-25,1.27243190104697,0.989,0.996,6.32029368648725e-22,"0","PRSS1","Upregulated"
"5",3.3972392567293e-25,1.37386996826236,0.897,0.928,6.7944785134586e-22,"0","CTRB1","Upregulated"
"6",6.83889277454905e-25,1.24103324101994,0.897,0.888,1.36777855490981e-21,"0","CLPS","Upregulated"
"7",2.11869980789621e-24,1.06959876390866,0.995,1,4.23739961579243e-21,"0","LCN2","Upregulated"
"8",4.8947909689424e-24,1.13939975556554,0.978,0.987,9.78958193788479e-21,"0","CTRB2","Upregulated"
"9",1.17021089277578e-23,1.51805882949321,0.935,0.96,2.34042178555157e-20,"0","REG3A","Upregulated"
"10",3.17956317325181e-19,1.31889158961328,0.908,0.825,6.35912634650361e-16,"0","PLA2G1B","Upregulated"
"11",1.62065699274615e-16,1.07570191384385,0.815,0.717,3.24131398549231e-13,"0","CPA1","Upregulated"
"12",1.89273933114582e-14,1.26090118871,0.875,0.839,3.78547866229164e-11,"0","PRSS3","Upregulated"
"13",3.93461809847587e-14,1.16880786347526,0.886,0.879,7.86923619695174e-11,"0","GSTA1","Upregulated"
"14",1.79087694676075e-08,1.38312906920085,0.793,0.87,3.5817538935215e-05,"0","CPB1","Upregulated"
"15",2.2595412416863e-08,1.07027666393499,0.87,0.861,4.5190824833726e-05,"0","C15orf48","Upregulated"
"16",4.87285725291479e-08,1.19787226785122,0.886,0.843,9.74571450582958e-05,"0","S100A10","Upregulated"
"17",2.47875863496146e-46,1.23292053186842,0.943,0.562,4.95751726992292e-43,"1","PCSK1","Upregulated"
"18",7.27540218070194e-44,2.04398683503993,0.962,0.293,1.45508043614039e-40,"1","CPE","Upregulated"
"19",8.31745790371983e-44,2.0499623909921,0.994,0.61,1.66349158074397e-40,"1","SCG3","Upregulated"
"20",3.85652977571227e-43,2.21859436206,0.968,0.546,7.71305955142453e-40,"1","ERO1B","Upregulated"
"21",2.9998340723653e-41,1.51381034809895,0.956,0.751,5.9996681447306e-38,"1","SCG2","Upregulated"
"22",1.06271497064747e-39,1.28934145593984,0.956,0.847,2.12542994129493e-36,"1","SCGB2A1","Upregulated"
"23",3.32009583265293e-39,1.11654564076694,0.899,0.406,6.64019166530585e-36,"1","SAMD11","Upregulated"
"24",1.99644448400451e-37,1.2933088219429,0.956,0.329,3.99288896800901e-34,"1","GAD2","Upregulated"
"25",2.24956344046875e-37,2.51621992074127,0.949,0.394,4.49912688093749e-34,"1","CHGA","Upregulated"
"26",1.24528754052172e-36,1.17362001531502,0.937,0.414,2.49057508104343e-33,"1","SCGN","Upregulated"
"27",2.93003071064732e-34,1.50886009438382,0.994,0.755,5.86006142129463e-31,"1","PCSK1N","Upregulated"
"28",2.88860024289921e-33,1.77416207874501,1,0.976,5.77720048579841e-30,"1","MALAT1","Upregulated"
"29",1.87755268402774e-29,1.46235730416316,0.924,0.378,3.75510536805548e-26,"1","BEX1","Upregulated"
"30",2.88157570930532e-28,1.24550681409547,0.987,0.715,5.76315141861064e-25,"1","TIMP1","Upregulated"
"31",4.51798784074399e-28,1.2693757298571,0.911,0.534,9.03597568148798e-25,"1","TSC22D1","Upregulated"
"32",1.23806390589049e-27,1.82476181763693,0.93,0.498,2.47612781178098e-24,"1","RBP4","Upregulated"
"33",2.87835419783278e-27,1.36003978341005,0.943,0.631,5.75670839566555e-24,"1","SCG5","Upregulated"
