"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","regulation"
"1",0,2.78367048089781,0.997,0.911,0,"D1","SERPINA1","Upregulated"
"2",0,2.52262754198841,0.967,0.824,0,"D1","CRP","Upregulated"
"3",0,2.30412794440002,0.921,0.523,0,"D1","SPP1","Upregulated"
"4",0,2.21566162850006,1,0.999,0,"D1","LCN2","Upregulated"
"5",0,2.1317123204961,0.946,0.736,0,"D1","FXYD2","Upregulated"
"6",0,2.07149671247033,0.927,0.746,0,"D1","APCS","Upregulated"
"7",0,1.82038229496025,0.949,0.547,0,"D1","TSPAN8","Upregulated"
"8",0,1.80700406136829,0.952,0.884,0,"D1","PIGR","Upregulated"
"9",0,1.74843800209238,0.996,0.902,0,"D1","PRDX1","Upregulated"
"10",0,1.66533289932774,0.923,0.741,0,"D1","SLC4A4","Upregulated"
"11",0,1.66212491676243,0.996,0.949,0,"D1","SLPI","Upregulated"
"12",0,1.63581712817905,0.95,0.717,0,"D1","WFDC2","Upregulated"
"13",0,1.63196476304623,0.977,0.922,0,"D1","GPX2","Upregulated"
"14",0,1.61203554800803,0.972,0.751,0,"D1","IFITM2","Upregulated"
"15",0,1.6037992874041,0.975,0.837,0,"D1","C12orf75","Upregulated"
"16",0,1.54301659420024,0.787,0.383,0,"D1","AMBP","Upregulated"
"17",0,1.54070546771385,0.904,0.605,0,"D1","TFPI2","Upregulated"
"18",0,1.47507277007292,0.968,0.842,0,"D1","CLDN10","Upregulated"
"19",0,1.47008280210498,0.85,0.748,0,"D1","CEACAM7","Upregulated"
"20",0,1.39431805322478,0.997,0.932,0,"D1","LGALS3","Upregulated"
"21",0,1.38455006194069,0.888,0.522,0,"D1","CFTR","Upregulated"
"22",0,1.35208342034262,0.881,0.539,0,"D1","IGFBP7","Upregulated"
"23",0,1.33828443599322,0.906,0.58,0,"D1","DEFB1","Upregulated"
"24",0,1.33605192883516,0.845,0.499,0,"D1","CD74","Upregulated"
"25",0,1.32944165569511,0.918,0.747,0,"D1","CTSH","Upregulated"
"26",0,1.3017993043774,1,0.991,0,"D1","GSTP1","Upregulated"
"27",0,1.28615385991703,0.997,0.948,0,"D1","KRT18","Upregulated"
"28",0,1.23488175409135,0.9,0.85,0,"D1","CCL20","Upregulated"
"29",0,1.22318069406111,0.741,0.416,0,"D1","LGALS4","Upregulated"
"30",0,1.20132568889323,0.926,0.806,0,"D1","PHLDA2","Upregulated"
"31",0,1.19710336645326,0.991,0.914,0,"D1","CALM1","Upregulated"
"32",0,1.18802019837469,0.775,0.42,0,"D1","LY6E","Upregulated"
"33",0,1.16871688779478,0.959,0.87,0,"D1","PLK2","Upregulated"
"34",0,1.14494479291179,0.999,0.984,0,"D1","S100A6","Upregulated"
"35",0,1.139446387641,0.86,0.674,0,"D1","CXCL1","Upregulated"
"36",0,1.13865013057913,0.925,0.726,0,"D1","CLU","Upregulated"
"37",0,1.13431005688975,0.963,0.821,0,"D1","CCL2","Upregulated"
"38",0,1.10999550665743,0.782,0.49,0,"D1","SERPING1","Upregulated"
"39",0,1.10332719971011,0.962,0.848,0,"D1","ANXA4","Upregulated"
"40",0,1.09441244795676,0.999,0.978,0,"D1","TPM1","Upregulated"
"41",0,1.0883833942224,0.917,0.616,0,"D1","BICC1","Upregulated"
"42",0,1.07699739861399,0.886,0.727,0,"D1","PMEPA1","Upregulated"
"43",0,1.06916017342516,0.793,0.564,0,"D1","S100A14","Upregulated"
"44",0,1.05789674270534,0.958,0.74,0,"D1","CYSTM1","Upregulated"
"45",0,1.05276797088823,0.841,0.505,0,"D1","KRT19","Upregulated"
"46",0,1.02525541346193,0.999,0.969,0,"D1","GAPDH","Upregulated"
"47",0,1.00909469928188,0.95,0.716,0,"D1","DYNLT1","Upregulated"
"48",0,1.00464094857888,0.67,0.492,0,"D1","IGFBP3","Upregulated"
"49",0,4.35938367293714,0.898,0.462,0,"D2","TFF2","Upregulated"
"50",0,3.92634170981773,1,0.987,0,"D2","S100A6","Upregulated"
"51",0,2.86192805260442,0.986,0.827,0,"D2","PHLDA2","Upregulated"
"52",0,2.6158569244755,0.938,0.604,0,"D2","S100A14","Upregulated"
"53",0,2.4553387946527,0.933,0.683,0,"D2","C19orf33","Upregulated"
"54",0,2.44966193168296,1,0.944,0,"D2","LGALS3","Upregulated"
"55",0,2.36853257255055,0.955,0.564,0,"D2","KRT19","Upregulated"
"56",0,2.30808737847932,1,0.97,0,"D2","S100A10","Upregulated"
"57",0,1.69495891216301,1,0.985,0,"D2","S100A11","Upregulated"
"58",7.09334889663228e-306,4.12558144020344,0.885,0.623,1.41866977932646e-302,"D2","TFF1","Upregulated"
"59",2.4643951973628e-305,2.58946000253991,0.917,0.658,4.92879039472559e-302,"D2","CD55","Upregulated"
"60",9.0726759357845e-299,2.04283157997871,0.95,0.604,1.8145351871569e-295,"D2","S100A16","Upregulated"
"61",1.47752777052891e-279,2.16888916826563,0.999,0.957,2.95505554105782e-276,"D2","SLPI","Upregulated"
"62",6.24956629888097e-275,1.73835997663083,0.827,0.36,1.24991325977619e-271,"D2","TRIM54","Upregulated"
"63",5.10388041987671e-257,1.49156318069835,0.979,0.758,1.02077608397534e-253,"D2","DYNLT1","Upregulated"
"64",1.71845007575498e-249,1.32036773251645,1,0.974,3.43690015150995e-246,"D2","GAPDH","Upregulated"
"65",1.00865474155962e-246,1.19430200499189,0.808,0.568,2.01730948311924e-243,"D2","RHOF","Upregulated"
"66",3.02639746480491e-246,2.31729192111303,0.868,0.522,6.05279492960983e-243,"D2","IGFBP3","Upregulated"
"67",4.75226287616383e-242,2.79724305140539,0.891,0.656,9.50452575232765e-239,"D2","PI3","Upregulated"
"68",4.2550117919692e-238,1.69078432196077,0.913,0.684,8.51002358393839e-235,"D2","TMEM54","Upregulated"
"69",1.15574787404263e-237,2.1107767121783,0.85,0.63,2.31149574808526e-234,"D2","CEACAM6","Upregulated"
"70",2.9025026176245e-231,1.25963815933721,0.996,0.893,5.80500523524901e-228,"D2","MYL12B","Upregulated"
"71",1.88730339292037e-230,1.56297162629584,0.849,0.399,3.77460678584075e-227,"D2","FXYD3","Upregulated"
"72",7.62856654202148e-226,2.26999792469985,0.771,0.455,1.5257133084043e-222,"D2","TFF3","Upregulated"
"73",5.2030641890999e-221,1.68893969053656,0.944,0.789,1.04061283781998e-217,"D2","SH3BGRL3","Upregulated"
"74",1.3942360371912e-214,1.64869754737804,0.94,0.619,2.78847207438241e-211,"D2","TSPAN8","Upregulated"
"75",1.41950145879753e-210,1.36075506956367,0.819,0.615,2.83900291759506e-207,"D2","LINC01133","Upregulated"
"76",7.9429548915902e-210,1.64208567163933,0.865,0.474,1.58859097831804e-206,"D2","LGALS4","Upregulated"
"77",2.12766720599595e-197,1.29595695645856,0.757,0.371,4.2553344119919e-194,"D2","TSPAN1","Upregulated"
"78",6.17944692093803e-196,1.33388533466101,0.98,0.779,1.23588938418761e-192,"D2","CYSTM1","Upregulated"
"79",7.8928214057506e-195,1.26243046904183,1,0.985,1.57856428115012e-191,"D2","TXN","Upregulated"
"80",1.62213433417659e-191,1.9539687924534,0.844,0.53,3.24426866835319e-188,"D2","UCA1","Upregulated"
"81",8.99285262914135e-190,1.25051951838807,0.985,0.82,1.79857052582827e-186,"D2","CLIC1","Upregulated"
"82",1.83475534250551e-185,1.19763460792604,0.927,0.564,3.66951068501102e-182,"D2","TIMP1","Upregulated"
"83",1.29203827224301e-178,1.37927903175475,0.959,0.816,2.58407654448602e-175,"D2","EZR","Upregulated"
"84",8.61237512497956e-177,1.89991723858945,0.923,0.778,1.72247502499591e-173,"D2","APCS","Upregulated"
"85",9.41835522674774e-177,1.2644352476711,0.896,0.814,1.88367104534955e-173,"D2","BCL10","Upregulated"
"86",2.632816628296e-176,1.20910545545989,0.971,0.933,5.265633256592e-173,"D2","JPT1","Upregulated"
"87",2.02428926822254e-170,1.16883844796412,0.805,0.767,4.04857853644509e-167,"D2","MISP","Upregulated"
"88",2.24965512932387e-167,2.10595433043289,0.794,0.598,4.49931025864774e-164,"D2","AREG","Upregulated"
"89",8.94428191326379e-165,1.29726760194848,0.808,0.537,1.78885638265276e-161,"D2","CCND1","Upregulated"
"90",1.76868575791969e-162,1.38093524827328,0.986,0.884,3.53737151583939e-159,"D2","SERPINB1","Upregulated"
"91",1.78007216154881e-162,1.16478782039819,0.907,0.682,3.56014432309763e-159,"D2","PKM","Upregulated"
"92",1.14073905569898e-161,1.43944421858863,0.792,0.698,2.28147811139797e-158,"D2","PDLIM4","Upregulated"
"93",1.77634010522193e-160,1.15394345696499,0.854,0.482,3.55268021044386e-157,"D2","LY6E","Upregulated"
"94",2.19601527410858e-155,1.19405517280958,0.797,0.657,4.39203054821717e-152,"D2","FHL2","Upregulated"
"95",1.28284705457271e-150,1.08337990129981,0.812,0.775,2.56569410914542e-147,"D2","APOL2","Upregulated"
"96",1.54662328691213e-148,1.14989024999767,0.989,0.926,3.09324657382426e-145,"D2","SERPINA1","Upregulated"
"97",3.71718988274188e-145,1.29911129231091,0.935,0.714,7.43437976548375e-142,"D2","LDHA","Upregulated"
"98",2.67103404423093e-142,1.2312002725747,0.884,0.707,5.34206808846186e-139,"D2","ID1","Upregulated"
"99",1.34744593628687e-138,1.51920731771045,0.697,0.378,2.69489187257374e-135,"D2","CAMK2N1","Upregulated"
"100",3.1087804445501e-138,1.04426371238568,0.934,0.728,6.2175608891002e-135,"D2","ANXA2","Upregulated"
"101",4.16448445760934e-136,1.05374874540909,0.983,0.96,8.32896891521867e-133,"D2","ITGB1","Upregulated"
"102",2.97702426874843e-132,1.30390660088752,0.825,0.767,5.95404853749686e-129,"D2","CEACAM7","Upregulated"
"103",6.9252846662393e-131,1.00988110351135,0.735,0.466,1.38505693324786e-127,"D2","SLC44A4","Upregulated"
"104",3.53157715468091e-130,1.26465439142599,0.844,0.808,7.06315430936181e-127,"D2","NQO1","Upregulated"
"105",1.68358063743005e-129,1.55728483606387,0.979,0.931,3.3671612748601e-126,"D2","C15orf48","Upregulated"
"106",1.1546394897461e-127,1.19518072699991,0.766,0.613,2.30927897949219e-124,"D2","PLAUR","Upregulated"
"107",1.09626645780388e-126,1.20370657620499,0.829,0.648,2.19253291560777e-123,"D2","MDK","Upregulated"
"108",1.55430503453789e-122,1.11829841649139,0.756,0.461,3.10861006907578e-119,"D2","TGM2","Upregulated"
"109",1.99498685574492e-107,1.12867993223997,0.738,0.703,3.98997371148984e-104,"D2","S100A4","Upregulated"
